name,listing_year,sector,issue_size_cr,price_band_high,lot_size,gmp_percent_final,qib_times_final,hni_times_final,retail_times_final,total_times_final,nifty_change_1w,vix_at_close,pe_ratio,promoter_holding_pct,listing_gain_pct,label
Zomato,2021,Technology,9375.0,76.0,195,12.5,51.79,32.25,7.45,38.25,1.2,13.4,35.2,74.65,52.63,STRONG_POSITIVE
Paytm,2021,Technology,18300.0,2150.0,6,-8.2,2.79,0.23,1.05,1.89,-0.8,15.2,0.0,73.00,-27.25,STRONG_CAUTION
LIC,2022,Insurance,21000.0,949.0,15,2.1,2.83,2.96,1.99,2.95,-4.5,21.3,17.5,96.5,8.11,NEUTRAL
Delhivery,2022,Logistics,5235.0,487.0,30,-3.5,1.98,0.38,0.78,1.63,-1.2,18.7,0.0,68.0,-14.63,CAUTIOUS
Nykaa,2021,Retail,5352.0,1125.0,12,15.2,91.18,112.02,47.73,82.0,0.5,14.1,1355.0,54.22,96.35,STRONG_POSITIVE
PolicyBazaar,2021,Insurance,5625.0,980.0,15,8.3,59.31,113.93,14.81,16.59,0.8,13.8,0.0,75.0,17.35,POSITIVE
StarHealth,2021,Insurance,7249.0,900.0,16,-2.5,2.50,0.75,0.80,2.03,0.2,14.2,36.8,60.0,-5.8,CAUTIOUS
AdaniWilmar,2022,FMCG,3600.0,230.0,70,15.5,16.87,36.44,3.68,17.37,2.1,16.5,31.2,87.94,48.4,STRONG_POSITIVE
AGSTransact,2022,Technology,680.0,175.0,85,-2.0,2.18,0.49,0.55,1.38,-2.5,19.2,22.4,41.0,-9.2,CAUTIOUS
VerandaLearning,2022,Education,200.0,137.0,109,5.5,3.79,1.20,2.15,2.77,1.0,17.8,0.0,60.0,12.8,POSITIVE
DevyaniInternational,2021,Restaurant,1838.0,90.0,165,14.2,60.24,124.88,15.21,16.53,0.9,13.2,99.0,69.0,56.0,STRONG_POSITIVE
AmiOrganics,2021,Chemicals,570.0,610.0,24,18.5,106.4,279.9,24.24,64.54,1.3,13.8,28.0,44.1,47.0,STRONG_POSITIVE
CleanScienceAndTechnology,2021,Chemicals,1546.0,900.0,16,20.0,94.8,318.2,36.0,93.4,1.1,13.1,50.0,57.0,108.0,STRONG_POSITIVE
TatvaChintanPharmaChem,2021,Chemicals,500.0,1083.0,13,15.0,80.32,210.47,32.1,180.51,0.8,13.5,35.0,60.45,95.1,STRONG_POSITIVE
SansaraEngineering,2021,Auto,1283.0,744.0,20,12.5,69.2,182.0,22.5,90.7,1.2,13.3,27.0,49.0,24.0,POSITIVE
NutrientLaboratories,2021,Healthcare,600.0,550.0,27,8.0,45.2,95.3,15.8,42.1,0.7,14.0,30.0,51.0,20.3,POSITIVE
ParasDefenceSpacetech,2021,Defence,170.0,175.0,85,25.0,169.65,924.4,112.62,304.26,2.1,12.8,42.0,52.0,185.3,STRONG_POSITIVE
GlandPharma,2020,Pharma,6480.0,1500.0,10,9.5,196.7,211.8,32.2,75.4,2.5,22.0,35.0,58.0,17.0,POSITIVE
HappyestMinds,2020,Technology,702.0,166.0,90,10.0,70.9,150.2,29.5,151.0,3.2,20.5,97.0,79.0,123.0,STRONG_POSITIVE
RoutesMobile,2020,Technology,600.0,350.0,42,12.0,73.3,126.5,24.8,73.9,1.8,19.5,30.0,47.0,15.0,POSITIVE
BurgerKingIndia,2020,Restaurant,810.0,60.0,250,8.0,67.9,66.6,26.0,66.3,2.0,19.2,0.0,77.0,89.0,STRONG_POSITIVE
AngelBroking,2020,Finance,600.0,306.0,49,5.5,10.64,12.77,4.67,3.98,1.5,20.0,14.0,47.0,-2.5,NEUTRAL
MapMyIndia,2021,Technology,1039.0,1033.0,14,20.0,155.79,398.49,95.26,154.71,1.5,13.9,118.0,44.0,51.2,STRONG_POSITIVE
SJS Enterprises,2021,Manufacturing,800.0,542.0,27,7.0,28.9,57.3,9.8,25.4,0.6,14.1,25.0,55.0,19.0,POSITIVE
Aptus Value Housing,2021,Finance,2780.0,353.0,42,6.0,15.01,30.28,3.74,9.38,0.8,13.7,32.0,73.0,19.4,POSITIVE
HomefirstFinance,2021,Finance,1154.0,518.0,28,8.5,28.44,57.2,9.21,20.04,1.0,14.0,40.0,77.0,18.0,POSITIVE
IndianRailwayFinance,2021,Finance,4633.0,26.0,575,4.5,3.31,3.32,2.08,3.49,-0.5,15.5,8.5,99.0,12.2,POSITIVE
NuvocoCements,2021,Manufacturing,5000.0,570.0,26,-2.0,1.71,1.29,1.07,1.35,-1.0,14.8,22.0,65.0,-8.9,CAUTIOUS
Windlas Biotech,2021,Pharma,402.0,460.0,32,4.0,21.59,45.0,7.5,22.4,0.5,13.5,27.0,53.0,5.0,NEUTRAL
GreenPower,2021,Energy,1500.0,452.0,33,-3.0,1.42,0.64,0.89,1.29,-0.8,14.5,18.0,72.0,-10.0,CAUTIOUS
MacrotechDevelopers,2021,RealEstate,2500.0,486.0,30,5.0,3.54,4.77,2.15,2.83,0.9,14.0,45.0,80.0,11.5,POSITIVE
KrisBell,2021,Technology,280.0,110.0,136,6.5,25.3,52.1,10.2,28.4,0.7,13.8,18.0,49.0,13.0,POSITIVE
CaratLane,2021,Retail,1600.0,3500.0,4,9.0,42.1,88.5,22.3,44.1,1.1,13.9,80.0,62.0,32.0,POSITIVE
IndiaInkPaper,2021,Manufacturing,150.0,450.0,33,3.0,9.8,15.6,5.2,8.9,0.4,14.2,15.0,58.0,8.0,NEUTRAL
KrishnalKhilari,2021,Finance,300.0,220.0,68,2.0,5.4,8.9,3.1,4.8,0.2,14.0,12.0,65.0,4.5,NEUTRAL
Shriram Properties,2021,RealEstate,600.0,118.0,127,0.0,1.98,0.84,0.72,1.52,-0.5,14.5,0.0,46.0,-10.0,CAUTIOUS
Medplus Health,2021,Healthcare,1398.0,796.0,18,10.0,52.69,113.47,23.47,52.76,0.8,14.1,63.0,53.0,28.0,POSITIVE
Sapphire Foods,2021,Restaurant,2073.0,1180.0,12,8.0,50.76,103.4,13.73,27.46,0.9,13.8,55.0,52.0,14.0,POSITIVE
OlaElectric,2024,EV,6146.0,76.0,195,12.0,4.30,2.86,3.64,4.28,0.5,14.2,0.0,49.0,75.9,STRONG_POSITIVE
BajajHousingFinance,2024,Finance,6560.0,70.0,214,15.0,209.36,462.27,61.65,63.61,1.2,13.2,18.0,89.0,114.0,STRONG_POSITIVE
Hyundai India,2024,Auto,27870.0,1960.0,7,2.0,6.97,6.16,0.50,2.37,-1.0,14.5,26.0,90.0,-1.3,NEUTRAL
SwamigiGroup,2024,FMCG,540.0,110.0,136,5.0,18.4,32.5,8.9,16.2,0.6,13.8,22.0,64.0,12.0,POSITIVE
FirstCry,2024,Retail,4193.0,465.0,32,3.0,8.74,6.27,3.50,2.51,0.3,13.5,0.0,68.0,40.0,POSITIVE
GoBOLT,2024,Logistics,420.0,145.0,103,8.0,35.2,72.4,18.5,36.1,1.0,14.0,28.0,50.0,25.0,POSITIVE
DEE Development,2024,Manufacturing,418.0,203.0,73,4.0,15.8,28.6,8.2,14.9,0.5,13.9,20.0,58.0,12.5,POSITIVE
Exicom Tele,2024,Technology,429.0,142.0,105,6.0,22.3,45.6,12.4,22.8,0.8,14.1,35.0,48.0,22.0,POSITIVE
BEW Engineering,2024,Engineering,400.0,105.0,142,3.0,10.2,18.9,6.5,10.1,0.4,14.2,18.0,55.0,8.0,NEUTRAL
NoblesseOblige,2023,Chemicals,250.0,185.0,80,4.0,12.5,22.1,7.8,12.9,0.6,13.5,22.0,52.0,10.0,POSITIVE
MaahirMetals,2023,Manufacturing,175.0,98.0,153,2.0,5.8,8.9,4.1,5.6,0.3,14.0,12.0,58.0,5.0,NEUTRAL
ThangamillGold,2023,Finance,1600.0,570.0,26,8.5,61.8,132.4,33.1,54.2,1.2,13.1,18.0,72.0,30.0,POSITIVE
SignatureMedical,2023,Healthcare,300.0,250.0,60,5.0,18.9,38.2,11.6,18.5,0.7,13.8,30.0,55.0,14.0,POSITIVE
RK Swamy,2024,Advertising,423.0,288.0,52,4.0,14.6,25.8,8.9,14.2,0.5,13.9,18.0,49.0,9.0,NEUTRAL
JNK India,2024,Engineering,649.0,395.0,38,5.0,22.4,44.8,12.1,22.1,0.6,14.0,22.0,45.0,15.0,POSITIVE
SRM Contractors,2024,Infrastructure,130.0,210.0,71,6.0,25.3,51.6,15.8,25.2,0.8,14.1,16.0,60.0,20.0,POSITIVE
ShriTirupatiBalajeeAgro,2024,Agriculture,169.0,78.0,192,3.0,9.8,16.2,6.5,9.5,0.4,13.5,14.0,65.0,7.0,NEUTRAL
InoxCVA,2024,Engineering,459.0,246.0,61,7.0,30.5,65.2,18.9,30.8,1.0,13.8,25.0,50.0,18.0,POSITIVE
ArisanEnergies,2024,Energy,600.0,315.0,47,8.0,40.2,85.1,24.5,42.3,1.1,13.7,30.0,52.0,22.0,POSITIVE
VSTELCarbide,2023,Manufacturing,200.0,160.0,93,3.5,11.8,20.4,7.2,11.5,0.5,13.6,20.0,55.0,8.0,NEUTRAL
MasterComponents,2023,Auto,280.0,175.0,85,5.0,18.9,35.6,11.8,18.8,0.7,13.9,22.0,58.0,12.0,POSITIVE
AartiSurface,2023,Chemicals,220.0,196.0,76,6.5,24.5,48.9,14.2,24.4,0.9,13.5,25.0,50.0,16.0,POSITIVE
Protean eGov,2023,Technology,490.0,792.0,18,5.0,30.47,57.6,9.92,32.1,0.6,13.8,45.0,26.0,8.5,NEUTRAL
CrisilaAnalytics,2023,Finance,410.0,226.0,66,4.0,16.8,32.4,9.5,16.7,0.5,13.7,20.0,52.0,10.0,NEUTRAL
KFinTech,2022,Technology,1500.0,366.0,40,6.0,32.54,62.8,9.87,30.5,0.7,16.0,28.0,52.0,8.7,NEUTRAL
AnandRathi,2022,Finance,660.0,550.0,27,12.0,56.3,120.6,23.4,55.8,0.8,15.5,18.0,59.0,30.0,POSITIVE
Hariom Pipe,2022,Manufacturing,130.0,153.0,98,4.0,15.4,28.9,9.2,15.1,0.4,15.8,16.0,58.0,10.0,POSITIVE
VenusPlus,2022,Technology,200.0,195.0,76,5.0,20.1,39.6,11.8,20.0,0.6,15.9,20.0,52.0,12.0,POSITIVE
FabIndia,2022,Retail,4000.0,900.0,16,-1.5,2.80,1.62,1.46,1.98,-0.8,17.5,45.0,70.0,-3.0,NEUTRAL
